category,filter_type,bilateral_symmetry,lr_imbalance,multifractal_width,entropy,junctions
ai_faces_1k,topographic,0.6649,0.0598,1.5267,4.9076,6249
ai_faces_1k,topographic,0.6468,0.0426,2.4587,5.3922,6420
ai_faces_1k,topographic,0.5814,0.0072,3.5046,6.2613,10065
ai_faces_1k,topographic,0.5891,0.0318,3.3974,6.1472,10047
ai_faces_1k,topographic,0.5948,0.0165,3.1403,5.8055,8110
ai_faces_1k,topographic,0.6035,0.0006,3.4448,5.9946,8807
ai_faces_1k,topographic,0.636,0.031,3.1647,5.6789,8274
ai_faces_1k,topographic,0.592,0.025,3.4323,6.087,9656
ai_faces_1k,topographic,0.5906,0.0127,2.5179,5.5606,7263
ai_faces_1k,topographic,0.5709,0.1293,3.0272,5.7254,7882
ai_faces_1k,topographic,0.6026,0.049,2.4277,5.5968,7999
ai_faces_1k,topographic,0.627,0.0948,3.2103,5.4526,7261
ai_faces_1k,topographic,0.5706,0.0314,3.4327,6.1687,10173
ai_faces_1k,topographic,0.5723,0.0163,3.4928,6.106,9352
ai_faces_1k,topographic,0.6385,0.1726,2.1161,4.4825,5599
ai_faces_1k,topographic,0.603,0.0415,3.1162,5.6945,7859
ai_faces_1k,topographic,0.6444,0.0236,1.6707,4.9777,5467
ai_faces_1k,topographic,0.587,0.0308,3.4796,6.1,8511
ai_faces_1k,topographic,0.5786,0.0055,3.3143,6.0756,8822
ai_faces_1k,topographic,0.6323,0.0143,3.2083,5.5437,7495
ai_faces_1k,topographic,0.5946,0.0016,3.1316,5.652,7751
ai_faces_1k,topographic,0.568,0.0158,2.7944,5.7556,8111
ai_faces_1k,topographic,0.5781,0.0181,3.49,6.2965,10343
ai_faces_1k,topographic,0.6,0.0105,2.5889,5.6697,8215
ai_faces_1k,topographic,0.6202,0.0255,3.2405,5.902,8742
ai_faces_1k,topographic,0.5783,0.0374,3.5226,6.2417,10156
ai_faces_1k,topographic,0.5882,0.0256,3.4557,6.1503,9062
ai_faces_1k,topographic,0.5982,0.0328,3.4198,6.0922,9450
ai_faces_1k,topographic,0.5885,0.1221,2.3834,5.3348,6979
ai_faces_1k,topographic,0.5706,0.0289,3.32,6.1096,8931
ai_faces_1k,topographic,0.6549,0.1129,1.2694,4.6342,5950
ai_faces_1k,topographic,0.5835,0.0728,3.4623,6.2006,9369
ai_faces_1k,topographic,0.5768,0.1561,2.2563,5.6792,8975
ai_faces_1k,topographic,0.5852,0.0371,3.3248,5.8792,8371
ai_faces_1k,topographic,0.6183,0.0547,3.1384,5.5011,7467
ai_faces_1k,topographic,0.6235,0.0105,2.4482,5.6582,8167
ai_faces_1k,topographic,0.589,0.0386,3.2602,5.6611,7621
ai_faces_1k,topographic,0.5862,0.0149,3.3445,5.9164,8297
ai_faces_1k,topographic,0.583,0.0819,1.1602,5.3924,6379
ai_faces_1k,topographic,0.5815,0.058,3.4136,6.1683,8699
ai_faces_1k,topographic,0.5748,0.0738,3.3635,5.849,9026
ai_faces_1k,topographic,0.6,0.0232,3.276,5.4524,7089
ai_faces_1k,topographic,0.568,0.0367,3.3574,6.0023,8817
ai_faces_1k,topographic,0.6266,0.0874,2.1868,5.3497,6558
ai_faces_1k,topographic,0.5689,0.0926,3.268,5.8306,8502
ai_faces_1k,topographic,0.5811,0.0293,3.424,6.0975,9442
ai_faces_1k,topographic,0.6233,0.0632,1.6791,5.0932,5284
ai_faces_1k,topographic,0.5977,0.1287,1.5161,5.0035,5628
ai_faces_1k,topographic,0.6023,0.1128,2.986,5.2606,7447
ai_faces_1k,topographic,0.5732,0.0448,3.3996,5.9601,8373
ai_faces_1k,topographic,0.5806,0.0059,3.4986,6.2593,10192
ai_faces_1k,topographic,0.5758,0.0444,3.4178,6.0239,8720
ai_faces_1k,topographic,0.5516,0.1099,3.2335,5.5514,6791
ai_faces_1k,topographic,0.5934,0.0078,3.2603,5.6832,7127
ai_faces_1k,topographic,0.5958,0.0092,3.4116,5.8765,8298
ai_faces_1k,topographic,0.6305,0.0488,1.7132,5.5439,7638
ai_faces_1k,topographic,0.5758,0.0116,3.5333,6.1087,8671
ai_faces_1k,topographic,0.6435,0.0221,2.4157,5.0981,6818
ai_faces_1k,topographic,0.6531,0.1649,1.8585,4.5271,5463
ai_faces_1k,topographic,0.6059,0.0271,3.2445,5.7304,8721
ai_faces_1k,topographic,0.5818,0.1287,1.4325,5.5943,8876
ai_faces_1k,topographic,0.6585,0.0362,3.1876,5.1691,6598
ai_faces_1k,topographic,0.5798,0.015,3.4663,6.1099,9418
ai_faces_1k,topographic,0.6588,0.0288,1.4891,5.1164,7012
ai_faces_1k,topographic,0.6068,0.0009,3.5334,6.0872,8488
ai_faces_1k,topographic,0.5701,0.0186,3.4433,6.0872,8133
ai_faces_1k,topographic,0.5823,0.033,3.4667,6.2039,9962
ai_faces_1k,topographic,0.5938,0.0017,3.5099,6.1319,9581
ai_faces_1k,topographic,0.6547,0.0888,1.7719,4.6934,5940
ai_faces_1k,topographic,0.5754,0.0129,3.4265,6.2353,9382
ai_faces_1k,topographic,0.6017,0.0148,3.2486,5.6051,7506
ai_faces_1k,topographic,0.609,0.086,3.1988,5.2686,5975
ai_faces_1k,topographic,0.5972,0.017,3.4226,5.7437,7197
ai_faces_1k,topographic,0.6157,0.0132,1.6611,4.9897,5450
