category,filter_type,bilateral_symmetry,lr_imbalance,multifractal_width,entropy,junctions
ai_faces_1k,raw,0.8775,0.0363,0.2479,7.0953,1334
ai_faces_1k,raw,0.8874,0.0381,0.3405,7.5161,833
ai_faces_1k,raw,0.8544,0.107,0.3345,7.6707,1140
ai_faces_1k,raw,0.8745,0.0155,1.255,7.5865,1644
ai_faces_1k,raw,0.8058,0.1252,0.4226,7.7255,2341
ai_faces_1k,raw,0.8261,0.1583,0.1607,6.6571,937
ai_faces_1k,raw,0.8761,0.0811,0.268,7.2476,951
ai_faces_1k,raw,0.9068,0.0353,0.369,7.2371,978
ai_faces_1k,raw,0.8658,0.0562,0.4382,7.2824,1270
ai_faces_1k,raw,0.766,0.0821,0.4672,7.6639,2522
ai_faces_1k,raw,0.8105,0.0349,2.2925,7.8755,1536
ai_faces_1k,raw,0.7644,0.1904,0.4163,7.6088,1052
ai_faces_1k,raw,0.9366,0.0074,0.2693,7.2768,1231
ai_faces_1k,raw,0.7283,0.1255,0.8821,7.7482,907
ai_faces_1k,raw,0.8541,0.121,0.7092,7.6588,1956
ai_faces_1k,raw,0.8709,0.0727,0.4816,7.3205,844
ai_faces_1k,raw,0.824,0.0415,0.2657,7.5353,910
ai_faces_1k,raw,0.8671,0.062,0.6909,7.2567,1204
ai_faces_1k,raw,0.9099,0.0224,0.1488,6.7182,836
ai_faces_1k,raw,0.8762,0.0124,0.366,7.3316,1682
ai_faces_1k,raw,0.8107,0.0694,0.4084,7.7522,1322
ai_faces_1k,raw,0.7613,0.0343,0.4441,7.845,1309
ai_faces_1k,raw,0.8546,0.0137,0.7799,7.7418,2405
ai_faces_1k,raw,0.8495,0.0857,0.7385,7.6227,552
ai_faces_1k,raw,0.7772,0.138,0.1713,7.4905,1551
ai_faces_1k,raw,0.6655,0.2988,0.6262,5.6031,874
ai_faces_1k,raw,0.8777,0.0188,0.5717,7.3609,1555
ai_faces_1k,raw,0.8441,0.0591,0.1391,6.4256,1107
ai_faces_1k,raw,0.7489,0.1918,0.2599,7.3391,3766
ai_faces_1k,raw,0.8403,0.0809,0.5477,7.3001,1086
ai_faces_1k,raw,0.8774,0.0668,0.3018,7.5443,1835
ai_faces_1k,raw,0.8274,0.0471,0.3665,7.512,3262
ai_faces_1k,raw,0.7143,0.26,1.5774,7.5987,988
ai_faces_1k,raw,0.941,0.0179,0.4451,6.8082,733
ai_faces_1k,raw,0.8364,0.0254,0.1607,7.1369,972
